# Photoabsorption spectrum from linear response TD-DFT
# GPAW version: 19.8.1
# Gauss folded, width=0.06 [eV]
# length form# om [eV]     osz          osz x       osz y       osz z
   1.00601 4.1494575e-05 4.9186447e-05 7.2524736e-05 2.7725425e-06
   1.02101 1.1093177e-04 1.3351757e-04 1.9196548e-04 7.3122737e-06
   1.03601 2.7871375e-04 3.4060945e-04 4.7741410e-04 1.8117680e-05
   1.05101 6.5811378e-04 8.1657746e-04 1.1155914e-03 4.2172512e-05
   1.06601 1.4604477e-03 1.8397445e-03 2.4493766e-03 9.2221871e-05
   1.08101 3.0458994e-03 3.8952384e-03 5.0530000e-03 1.8945971e-04
   1.09601 5.9702376e-03 7.7503958e-03 9.7946555e-03 3.6566146e-04
   1.11101 1.0998059e-02 1.4491852e-02 1.7839311e-02 6.6301277e-04
   1.12601 1.9041032e-02 2.5464252e-02 3.0529448e-02 1.1293955e-03
   1.14101 3.0982504e-02 4.2047654e-02 4.9092465e-02 1.8073940e-03
   1.15601 4.7380052e-02 6.5245901e-02 7.4176917e-02 2.7173378e-03
   1.17101 6.8097121e-02 9.5139771e-02 1.0531346e-01 3.8381341e-03
   1.18601 9.1985056e-02 1.3036625e-01 1.4049579e-01 5.0931284e-03
   1.20101 1.1677828e-01 1.6786465e-01 1.7612067e-01 6.3495133e-03
   1.21601 1.3933620e-01 2.0311462e-01 2.0745707e-01 7.4369160e-03
   1.23101 1.5625135e-01 2.3094463e-01 2.2962570e-01 8.1837228e-03
   1.24601 1.6468057e-01 2.4674953e-01 2.3883102e-01 8.4611698e-03
   1.26101 1.6312509e-01 2.4773290e-01 2.3342260e-01 8.2197810e-03
   1.27601 1.5186602e-01 2.3371539e-01 2.1437865e-01 7.5040181e-03
   1.29101 1.3288155e-01 2.0718819e-01 1.8501726e-01 6.4391940e-03
   1.30601 1.0927940e-01 1.7258987e-01 1.5005238e-01 5.1959315e-03
   1.32101 8.4468084e-02 1.3509487e-01 1.1436337e-01 3.9460080e-03
   1.33601 6.1369801e-02 9.9367108e-02 8.1917053e-02 2.8252426e-03
   1.35101 4.1918209e-02 6.8684380e-02 5.5156181e-02 1.9140650e-03
   1.36601 2.6934488e-02 4.4629166e-02 3.4936262e-02 1.2380368e-03
   1.38101 1.6321004e-02 2.7296784e-02 2.0882799e-02 7.8342862e-04
   1.39601 9.4234602e-03 1.5810299e-02 1.1940246e-02 5.1983646e-04
   1.41101 5.4091237e-03 8.9009395e-03 6.9036758e-03 4.2275584e-04
   1.42601 3.5633101e-03 5.3838726e-03 4.8141437e-03 4.9191403e-04
   1.44101 3.4731457e-03 4.4639734e-03 5.1920079e-03 7.6345580e-04
   1.45601 5.1108092e-03 5.8843110e-03 8.1337435e-03 1.3143730e-03
