# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-05]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       9.15933995e-16    -1.205309640346e-03     1.944589406653e-03     3.560894497401e-03
          1.24024120      -1.41553436e-15    -1.205334360340e-03     1.944684030216e-03     3.662766574348e-03
          2.48048240       9.43689571e-16    -1.205397710438e-03     1.944810625113e-03     3.758223637464e-03
          3.72072360      -1.52655666e-15    -1.205520589599e-03     1.944982069728e-03     3.848635575597e-03
          4.96096480       1.85962357e-15    -1.205707442132e-03     1.945230180669e-03     3.934278608345e-03
          6.20120600       1.38777878e-16    -1.205979267911e-03     1.945666577847e-03     4.013233309526e-03
          7.44144720      -1.66533454e-16    -1.206337795002e-03     1.946403288386e-03     4.084911021930e-03
          8.68168840      -1.38777878e-17    -1.206782974695e-03     1.947419065189e-03     4.148496536011e-03
          9.92192960      -1.38777878e-17    -1.207302811270e-03     1.948653368969e-03     4.202067683302e-03
         11.16217080      -1.73472348e-15    -1.207883611803e-03     1.950119737728e-03     4.245182867858e-03
         12.40241200       1.74860126e-15    -1.208520496897e-03     1.951788885941e-03     4.277421440046e-03
         13.64265320       2.35922393e-16    -1.209197683025e-03     1.953627622456e-03     4.298450897590e-03
         14.88289440       5.27355937e-16    -1.209902096105e-03     1.955606134718e-03     4.308343027804e-03
         16.12313560       5.82867088e-16    -1.210628579291e-03     1.957708167797e-03     4.307319842147e-03
         17.36337680      -1.94289029e-16    -1.211348689906e-03     1.959844467713e-03     4.295903567620e-03
         18.60361800       1.15185639e-15    -1.212045631056e-03     1.961948724215e-03     4.274250812940e-03
         19.84385921      -1.99840144e-15    -1.212699391940e-03     1.963959261329e-03     4.243046442392e-03
         21.08410041       8.60422844e-16    -1.213296569317e-03     1.965818625367e-03     4.203029525224e-03
         22.32434161       1.88737914e-15    -1.213822311158e-03     1.967475720921e-03     4.155072515289e-03
         23.56458281      -3.88578059e-16    -1.214267804158e-03     1.968882417507e-03     4.100132231311e-03
         24.80482401      -8.88178420e-16    -1.214619725690e-03     1.969990985005e-03     4.039069873335e-03
         26.04506521       2.35922393e-16    -1.214867410078e-03     1.970758443329e-03     3.972841346780e-03
         27.28530641       7.91033905e-16    -1.214999427320e-03     1.971153876048e-03     3.902385199283e-03
         28.52554761       1.40165657e-15    -1.215014693356e-03     1.971153580854e-03     3.828819505618e-03
         29.76578881       9.85322934e-16    -1.214910088580e-03     1.970737176947e-03     3.753056467667e-03
         31.00603001      -1.48492330e-15    -1.214689561316e-03     1.969879177570e-03     3.676152390967e-03
         32.24627121       5.55111512e-17    -1.214351137859e-03     1.968580689983e-03     3.599010363295e-03
         33.48651241       1.29063427e-15    -1.213896095777e-03     1.966855475493e-03     3.522556990819e-03
         34.72675361      -9.02056208e-16    -1.213330872689e-03     1.964728238611e-03     3.447683232028e-03
         35.96699481      -3.24740235e-15    -1.212662433392e-03     1.962225521459e-03     3.375269948052e-03
         37.20723601      -1.01307851e-15    -1.211894501972e-03     1.959366842891e-03     3.306110338501e-03
         38.44747721      -2.47024623e-15    -1.211030045888e-03     1.956169538374e-03     3.240965359664e-03
         39.68771841      -3.05311332e-16    -1.210070593568e-03     1.952662176391e-03     3.180547331833e-03
         40.92795961      -1.34614542e-15    -1.209024389842e-03     1.948896725305e-03     3.125485694849e-03
         42.16820081      -2.26207941e-15    -1.207918127159e-03     1.944947122970e-03     3.076382870442e-03
         43.40844201       1.55431223e-15    -1.206789119908e-03     1.940889530511e-03     3.033778582031e-03
         44.64868321       1.91513472e-15    -1.205663586829e-03     1.936776131209e-03     2.998019818655e-03
         45.88892441      -3.05311332e-16    -1.204539345852e-03     1.932644589512e-03     2.969340873138e-03
         47.12916561      -2.63677968e-16    -1.203396434882e-03     1.928528188337e-03     2.948074957256e-03
         48.36940681       2.26207941e-15    -1.202238354844e-03     1.924452699133e-03     2.934513640007e-03
         49.60964801      -4.99600361e-16    -1.201117410333e-03     1.920467807287e-03     2.928726370675e-03
         50.84988921       4.19109192e-15    -1.200084292647e-03     1.916659102977e-03     2.930683493935e-03
         52.09013041      -1.38777878e-16    -1.199115715462e-03     1.913074078249e-03     2.940352708568e-03
         53.33037161      -3.05311332e-16    -1.198166597135e-03     1.909789627092e-03     2.957554285987e-03
         54.57061281      -3.19189120e-16    -1.197253339198e-03     1.906897820840e-03     2.981937792006e-03
         55.81085401      -2.77555756e-17    -1.196459028183e-03     1.904425869024e-03     3.013252261426e-03
         57.05109521       3.05311332e-16    -1.195842098587e-03     1.902375273768e-03     3.051244987301e-03
         58.29133642      -6.93889390e-16    -1.195400027438e-03     1.900816753034e-03     3.095460040732e-03
         59.53157762      -8.46545056e-16    -1.195109421316e-03     1.899829830823e-03     3.145206262052e-03
         60.77181882      -8.32667268e-17    -1.194937319570e-03     1.899416806924e-03     3.199706434313e-03
         62.01206002      -3.17801341e-15    -1.194850942679e-03     1.899554243358e-03     3.258235344516e-03
         63.25230122       3.05311332e-15    -1.194866044499e-03     1.900256359960e-03     3.320140246251e-03
         64.49254242       7.63278329e-16    -1.195045326823e-03     1.901525033694e-03     3.384621384079e-03
         65.73278362      -2.37310172e-15    -1.195430666668e-03     1.903335164754e-03     3.450867205584e-03
         66.97302482       3.74700271e-16    -1.196010867156e-03     1.905684881651e-03     3.518177513250e-03
         68.21326602       5.41233725e-16    -1.196760169662e-03     1.908611011266e-03     3.585832220210e-03
         69.45350722       3.52495810e-15    -1.197666662426e-03     1.912133470681e-03     3.652990581788e-03
         70.69374842      -1.11022302e-16    -1.198720986838e-03     1.916245456422e-03     3.718849160735e-03
         71.93398962      -1.22124533e-15    -1.199912342216e-03     1.920890736026e-03     3.782488534298e-03
         73.17423082      -2.02615702e-15    -1.201244295427e-03     1.925954648233e-03     3.843005731111e-03
         74.41447202       1.41553436e-15    -1.202693763251e-03     1.931329275101e-03     3.899598151597e-03
         75.65471322       2.49800181e-15    -1.204221042332e-03     1.936955412233e-03     3.951562967370e-03
         76.89495442      -9.99200722e-16    -1.205818916069e-03     1.942786813060e-03     3.998233124900e-03
         78.13519562      -2.22044605e-16    -1.207476845638e-03     1.948767668218e-03     4.039121366277e-03
         79.37543682      -3.24740235e-15    -1.209147501515e-03     1.954833707920e-03     4.073828591457e-03
         80.61567802      -4.71844785e-16    -1.210805175001e-03     1.960902303283e-03     4.101867194873e-03
         81.85591922       3.08086889e-15    -1.212453608237e-03     1.966885309726e-03     4.122785776335e-03
         83.09616042      -3.02535774e-15    -1.214081284052e-03     1.972698257782e-03     4.136296342639e-03
         84.33640162      -1.76247905e-15    -1.215670455713e-03     1.978260590227e-03     4.142198469155e-03
         85.57664282       1.66533454e-15    -1.217196564606e-03     1.983484217153e-03     4.140406721264e-03
         86.81688402       1.24900090e-16    -1.218625361837e-03     1.988294693536e-03     4.131030892627e-03
         88.05712522      -2.22044605e-16    -1.219941223408e-03     1.992596672967e-03     4.114107502329e-03
         89.29736642      -1.17961196e-15    -1.221120663983e-03     1.996307383455e-03     4.089847206946e-03
         90.53760762       1.58206781e-15    -1.222136193093e-03     1.999368409114e-03     4.058561084636e-03
         91.77784882      -4.30211422e-16    -1.222948425857e-03     2.001737892416e-03     4.020586888482e-03
         93.01809002       7.63278329e-16    -1.223555125557e-03     2.003411175419e-03     3.976363394396e-03
         94.25833122       1.02695630e-15    -1.223965225654e-03     2.004378231696e-03     3.926543038237e-03
         95.49857243       1.38777878e-15    -1.224175151332e-03     2.004577867445e-03     3.871817740632e-03
         96.73881363      -1.77635684e-15    -1.224160887318e-03     2.003978044187e-03     3.812933375255e-03
         97.97905483       1.12410081e-15    -1.223912105563e-03     2.002593714680e-03     3.750757268787e-03
         99.21929603       9.99200722e-16    -1.223403002460e-03     2.000441051486e-03     3.686061198283e-03
        100.45953723       1.55431223e-15    -1.222634197033e-03     1.997510795812e-03     3.619628158082e-03
        101.69977843      -1.45716772e-15    -1.221642008464e-03     1.993858636243e-03     3.552517383525e-03
        102.94001963       1.11022302e-15    -1.220463017644e-03     1.989522075103e-03     3.485627083858e-03
        104.18026083       9.71445147e-16    -1.219060450151e-03     1.984530710122e-03     3.419695008411e-03
        105.42050203       7.35522754e-16    -1.217398295279e-03     1.978934538299e-03     3.355538724403e-03
        106.66074323      -1.94289029e-16    -1.215526479609e-03     1.972831747901e-03     3.294151366665e-03
        107.90098443      -8.04911693e-16    -1.213548551741e-03     1.966328249599e-03     3.236491806463e-03
        109.14122563       5.96744876e-16    -1.211527332076e-03     1.959548530039e-03     3.183498364148e-03
        110.38146683       6.24500451e-16    -1.209453444053e-03     1.952565036864e-03     3.135838152339e-03
        111.62170803       1.42941214e-15    -1.207299529963e-03     1.945439963368e-03     3.094068616610e-03
        112.86194923       8.88178420e-16    -1.205069932270e-03     1.938229028377e-03     3.058699040538e-03
        114.10219043      -9.43689571e-16    -1.202831392735e-03     1.931056153033e-03     3.030409020698e-03
        115.34243163       1.08246745e-15    -1.200677010863e-03     1.924066479251e-03     3.009685949815e-03
        116.58267283       2.87270208e-15    -1.198690340569e-03     1.917390826971e-03     2.996852516868e-03
        117.82291403       6.66133815e-16    -1.196889363443e-03     1.911066157900e-03     2.991962234837e-03
        119.06315523      -9.29811783e-16    -1.195266899710e-03     1.905143330542e-03     2.995042462519e-03
        120.30339643      -1.26287869e-15    -1.193799670633e-03     1.899712226567e-03     3.006090062437e-03
        121.54363763      -2.77555756e-16    -1.192484660602e-03     1.894836590367e-03     3.025056172934e-03
        122.78387883       1.45716772e-15    -1.191370283840e-03     1.890534342170e-03     3.051691188436e-03
        124.02412003       1.33226763e-15    -1.190503161157e-03     1.886851534145e-03     3.085583096589e-03
        125.26436123      -2.22044605e-15    -1.189880647659e-03     1.883856586842e-03     3.126233340690e-03
        126.50460243       2.49800181e-16    -1.189487964680e-03     1.881614053496e-03     3.173144998415e-03
        127.74484363       5.27355937e-16    -1.189324540182e-03     1.880191689746e-03     3.225766799010e-03
        128.98508483      -2.23432384e-15    -1.189398497623e-03     1.879618442371e-03     3.283320711358e-03
        130.22532603      -1.66533454e-15    -1.189695301633e-03     1.879861922197e-03     3.344871756860e-03
        131.46556723      -5.55111512e-16    -1.190171783410e-03     1.880882519785e-03     3.409469461995e-03
        132.70580843      -5.96744876e-16    -1.190786299156e-03     1.882670302921e-03     3.476190255563e-03
        133.94604964      -1.83186799e-15    -1.191536619143e-03     1.885218407751e-03     3.544022715284e-03
        135.18629084       6.80011603e-16    -1.192436267056e-03     1.888494206353e-03     3.611851779140e-03
        136.42653204       5.13478149e-16    -1.193501349426e-03     1.892438182091e-03     3.678586127678e-03
        137.66677324       1.02695630e-15    -1.194736737027e-03     1.897015359071e-03     3.743236836593e-03
        138.90701444       4.99600361e-16    -1.196113794554e-03     1.902204364137e-03     3.804851493156e-03
        140.14725564       1.15185639e-15    -1.197590874248e-03     1.907954501307e-03     3.862488698188e-03
        141.38749684       1.56819002e-15    -1.199150940228e-03     1.914223007985e-03     3.915274922531e-03
        142.62773804      -7.63278329e-16    -1.200789680823e-03     1.920934193700e-03     3.962348864870e-03
