# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.100000     0.0000000000e+00     1.0227645649e+00     0.0000000000e+00
    4.150000     0.0000000000e+00     6.1507950774e-01     0.0000000000e+00
    4.200000     0.0000000000e+00     5.0149931607e-01     0.0000000000e+00
    4.250000     0.0000000000e+00     5.9793912667e-01     0.0000000000e+00
    4.300000     0.0000000000e+00     5.3382316187e-01     0.0000000000e+00
    4.350000    -0.0000000000e+00     2.8173112620e-01     0.0000000000e+00
    4.400000     0.0000000000e+00     1.0806348611e-01     0.0000000000e+00
    4.450000     0.0000000000e+00     1.1325285460e-01     0.0000000000e+00
    4.500000     0.0000000000e+00     3.1169273815e-01     0.0000000000e+00
    4.550000     0.0000000000e+00     6.3605673477e-01     0.0000000000e+00
    4.600000    -0.0000000000e+00     8.3947925444e-01     0.0000000000e+00
    4.650000     0.0000000000e+00     8.0161474967e-01    -0.0000000000e+00
    4.700000     0.0000000000e+00     6.1928742433e-01    -0.0000000000e+00
    4.750000     0.0000000000e+00     3.8475883342e-01    -0.0000000000e+00
    4.800000     0.0000000000e+00     2.2090398456e-01     0.0000000000e+00
    4.850000     0.0000000000e+00     1.8989566041e-01     0.0000000000e+00
    4.900000     0.0000000000e+00     2.2515803183e-01     0.0000000000e+00
    4.950000     0.0000000000e+00     2.5732190165e-01     0.0000000000e+00
    5.000000     0.0000000000e+00     3.0879655326e-01     0.0000000000e+00
    5.050000     0.0000000000e+00     4.7622854714e-01     0.0000000000e+00
    5.100000    -0.0000000000e+00     7.7593189786e-01     0.0000000000e+00
    5.150000    -0.0000000000e+00     9.3234865358e-01    -0.0000000000e+00
    5.200000     0.0000000000e+00     7.3731005704e-01    -0.0000000000e+00
    5.250000     0.0000000000e+00     4.1207735056e-01     0.0000000000e+00
    5.300000     0.0000000000e+00     2.1290912771e-01     0.0000000000e+00
    5.350000    -0.0000000000e+00     1.4729823489e-01     0.0000000000e+00
    5.400000    -0.0000000000e+00     1.2067214808e-01     0.0000000000e+00
    5.450000     0.0000000000e+00     8.4651916783e-02     0.0000000000e+00
    5.500000     0.0000000000e+00     6.8090853125e-02     0.0000000000e+00
    5.550000     0.0000000000e+00     1.0653963507e-01     0.0000000000e+00
    5.600000     0.0000000000e+00     1.7755118394e-01     0.0000000000e+00
    5.650000     0.0000000000e+00     2.3231155070e-01     0.0000000000e+00
    5.700000     0.0000000000e+00     2.1735713723e-01     0.0000000000e+00
    5.750000     0.0000000000e+00     1.4570682972e-01     0.0000000000e+00
    5.800000     0.0000000000e+00     1.0029590412e-01    -0.0000000000e+00
    5.850000     0.0000000000e+00     1.3096596401e-01    -0.0000000000e+00
    5.900000    -0.0000000000e+00     1.8568689173e-01     0.0000000000e+00
    5.950000     0.0000000000e+00     1.6872236526e-01     0.0000000000e+00
    6.000000     0.0000000000e+00     1.0811724707e-01     0.0000000000e+00
    6.050000     0.0000000000e+00     9.5657440957e-02     0.0000000000e+00
    6.100000     0.0000000000e+00     1.2147097228e-01     0.0000000000e+00
    6.150000     0.0000000000e+00     1.1795420384e-01     0.0000000000e+00
    6.200000     0.0000000000e+00     1.0845209771e-01     0.0000000000e+00
    6.250000     0.0000000000e+00     1.5512408661e-01     0.0000000000e+00
    6.300000     0.0000000000e+00     2.1509205874e-01     0.0000000000e+00
    6.350000     0.0000000000e+00     1.9784874260e-01     0.0000000000e+00
    6.400000     0.0000000000e+00     1.3387871993e-01     0.0000000000e+00
    6.450000    -0.0000000000e+00     9.3750494312e-02     0.0000000000e+00
    6.500000    -0.0000000000e+00     6.8278198524e-02     0.0000000000e+00
    6.550000    -0.0000000000e+00     4.5362764096e-02     0.0000000000e+00
    6.600000    -0.0000000000e+00     3.4657946155e-02     0.0000000000e+00
    6.650000    -0.0000000000e+00     3.2615613325e-02     0.0000000000e+00
    6.700000    -0.0000000000e+00     3.0094505083e-02     0.0000000000e+00
    6.750000    -0.0000000000e+00     3.6893317704e-02     0.0000000000e+00
    6.800000     0.0000000000e+00     5.2918758334e-02     0.0000000000e+00
    6.850000     0.0000000000e+00     6.4852666976e-02     0.0000000000e+00
    6.900000     0.0000000000e+00     8.2855646829e-02     0.0000000000e+00
    6.950000     0.0000000000e+00     1.0626835465e-01     0.0000000000e+00
    7.000000     0.0000000000e+00     1.0468611223e-01     0.0000000000e+00
    7.050000     0.0000000000e+00     8.4400398267e-02     0.0000000000e+00
    7.100000     0.0000000000e+00     6.8011782383e-02     0.0000000000e+00
    7.150000    -0.0000000000e+00     5.1444881043e-02     0.0000000000e+00
    7.200000     0.0000000000e+00     3.6506696871e-02     0.0000000000e+00
    7.250000     0.0000000000e+00     2.5066969450e-02     0.0000000000e+00
    7.300000     0.0000000000e+00     1.5950826304e-02     0.0000000000e+00
    7.350000     0.0000000000e+00     1.4633138746e-02     0.0000000000e+00
    7.400000     0.0000000000e+00     1.9038608636e-02     0.0000000000e+00
    7.450000     0.0000000000e+00     2.1681987215e-02     0.0000000000e+00
    7.500000     0.0000000000e+00     2.2606172121e-02     0.0000000000e+00
    7.550000     0.0000000000e+00     2.5756821385e-02     0.0000000000e+00
    7.600000     0.0000000000e+00     3.0898248126e-02     0.0000000000e+00
    7.650000     0.0000000000e+00     3.0544673228e-02     0.0000000000e+00
    7.700000     0.0000000000e+00     2.2294990096e-02     0.0000000000e+00
    7.750000     0.0000000000e+00     1.4846108646e-02     0.0000000000e+00
    7.800000    -0.0000000000e+00     1.1809906970e-02     0.0000000000e+00
    7.850000    -0.0000000000e+00     1.1547193513e-02     0.0000000000e+00
    7.900000    -0.0000000000e+00     1.3105769010e-02     0.0000000000e+00
    7.950000     0.0000000000e+00     1.9111118247e-02     0.0000000000e+00
    8.000000     0.0000000000e+00     2.7176986536e-02    -0.0000000000e+00
    8.050000     0.0000000000e+00     3.0786348632e-02     0.0000000000e+00
    8.100000     0.0000000000e+00     2.8641662836e-02     0.0000000000e+00
    8.150000     0.0000000000e+00     2.3556678874e-02     0.0000000000e+00
    8.200000     0.0000000000e+00     1.8160543058e-02     0.0000000000e+00
    8.250000     0.0000000000e+00     1.7529218012e-02     0.0000000000e+00
    8.300000     0.0000000000e+00     2.3672159027e-02     0.0000000000e+00
    8.350000     0.0000000000e+00     2.7661543525e-02     0.0000000000e+00
    8.400000     0.0000000000e+00     2.6810128967e-02     0.0000000000e+00
    8.450000     0.0000000000e+00     2.3910706876e-02     0.0000000000e+00
    8.500000     0.0000000000e+00     1.9765367389e-02     0.0000000000e+00
    8.550000     0.0000000000e+00     1.4952936116e-02     0.0000000000e+00
    8.600000     0.0000000000e+00     1.2846163437e-02     0.0000000000e+00
    8.650000     0.0000000000e+00     1.5604174246e-02     0.0000000000e+00
    8.700000    -0.0000000000e+00     1.8552889434e-02     0.0000000000e+00
    8.750000    -0.0000000000e+00     1.6612015023e-02     0.0000000000e+00
    8.800000    -0.0000000000e+00     1.1224131033e-02     0.0000000000e+00
    8.850000    -0.0000000000e+00     8.6984127584e-03     0.0000000000e+00
    8.900000    -0.0000000000e+00     9.9660972115e-03     0.0000000000e+00
    8.950000     0.0000000000e+00     1.1667552020e-02     0.0000000000e+00
    9.000000     0.0000000000e+00     1.1728690666e-02     0.0000000000e+00
    9.050000     0.0000000000e+00     1.2752787904e-02     0.0000000000e+00
    9.100000     0.0000000000e+00     1.5804966799e-02     0.0000000000e+00
    9.150000     0.0000000000e+00     1.8154785095e-02     0.0000000000e+00
    9.200000     0.0000000000e+00     1.8019120260e-02     0.0000000000e+00
    9.250000     0.0000000000e+00     1.7299502389e-02     0.0000000000e+00
    9.300000     0.0000000000e+00     1.5818572838e-02     0.0000000000e+00
    9.350000     0.0000000000e+00     1.1888443747e-02     0.0000000000e+00
    9.400000     0.0000000000e+00     8.9618676086e-03     0.0000000000e+00
    9.450000     0.0000000000e+00     8.7211446033e-03     0.0000000000e+00
    9.500000     0.0000000000e+00     1.1210116664e-02     0.0000000000e+00
    9.550000     0.0000000000e+00     1.4272920193e-02     0.0000000000e+00
    9.600000     0.0000000000e+00     1.4747872375e-02     0.0000000000e+00
    9.650000    -0.0000000000e+00     1.2293640891e-02     0.0000000000e+00
    9.700000    -0.0000000000e+00     1.0019812970e-02     0.0000000000e+00
    9.750000     0.0000000000e+00     8.8531659863e-03    -0.0000000000e+00
    9.800000     0.0000000000e+00     8.1256390837e-03     0.0000000000e+00
    9.850000     0.0000000000e+00     8.5747350557e-03     0.0000000000e+00
    9.900000    -0.0000000000e+00     1.1618871161e-02     0.0000000000e+00
    9.950000    -0.0000000000e+00     1.7191493115e-02     0.0000000000e+00
   10.000000     0.0000000000e+00     1.9925070449e-02     0.0000000000e+00
   10.050000    -0.0000000000e+00     1.7192773149e-02     0.0000000000e+00
   10.100000    -0.0000000000e+00     1.2074231141e-02     0.0000000000e+00
   10.150000    -0.0000000000e+00     9.4927629241e-03     0.0000000000e+00
   10.200000     0.0000000000e+00     9.7695450784e-03     0.0000000000e+00
   10.250000    -0.0000000000e+00     9.3412165558e-03     0.0000000000e+00
   10.300000    -0.0000000000e+00     6.4940334062e-03     0.0000000000e+00
   10.350000     0.0000000000e+00     4.8766416244e-03     0.0000000000e+00
   10.400000     0.0000000000e+00     7.2440864893e-03     0.0000000000e+00
   10.450000     0.0000000000e+00     1.0530592429e-02     0.0000000000e+00
   10.500000     0.0000000000e+00     1.1448773804e-02    -0.0000000000e+00
   10.550000     0.0000000000e+00     9.7356919427e-03     0.0000000000e+00
   10.600000     0.0000000000e+00     9.0717849368e-03     0.0000000000e+00
   10.650000     0.0000000000e+00     1.0517586408e-02     0.0000000000e+00
   10.700000     0.0000000000e+00     1.1184351306e-02     0.0000000000e+00
   10.750000     0.0000000000e+00     9.5986172968e-03     0.0000000000e+00
   10.800000     0.0000000000e+00     9.4203422022e-03     0.0000000000e+00
   10.850000    -0.0000000000e+00     1.0995743762e-02     0.0000000000e+00
   10.900000    -0.0000000000e+00     1.1162834106e-02     0.0000000000e+00
   10.950000     0.0000000000e+00     1.0542215372e-02     0.0000000000e+00
   11.000000     0.0000000000e+00     1.1193901038e-02     0.0000000000e+00
   11.050000     0.0000000000e+00     1.2418294616e-02     0.0000000000e+00
   11.100000     0.0000000000e+00     1.1374876430e-02     0.0000000000e+00
   11.150000    -0.0000000000e+00     9.1390290323e-03     0.0000000000e+00
   11.200000    -0.0000000000e+00     8.1400628977e-03     0.0000000000e+00
   11.250000    -0.0000000000e+00     9.9030026944e-03     0.0000000000e+00
   11.300000     0.0000000000e+00     1.2421616817e-02     0.0000000000e+00
   11.350000     0.0000000000e+00     1.3215867458e-02     0.0000000000e+00
   11.400000     0.0000000000e+00     1.4902945627e-02     0.0000000000e+00
   11.450000     0.0000000000e+00     1.9451635775e-02     0.0000000000e+00
   11.500000     0.0000000000e+00     2.1974346986e-02     0.0000000000e+00
   11.550000     0.0000000000e+00     1.9451707503e-02     0.0000000000e+00
   11.600000     0.0000000000e+00     1.6312769233e-02     0.0000000000e+00
   11.650000     0.0000000000e+00     1.5276028657e-02     0.0000000000e+00
   11.700000     0.0000000000e+00     1.5633392301e-02     0.0000000000e+00
   11.750000    -0.0000000000e+00     1.4295079360e-02     0.0000000000e+00
   11.800000    -0.0000000000e+00     1.0744607747e-02     0.0000000000e+00
   11.850000     0.0000000000e+00     7.8279634854e-03    -0.0000000000e+00
   11.900000     0.0000000000e+00     7.2181564921e-03    -0.0000000000e+00
   11.950000     0.0000000000e+00     7.5365780054e-03     0.0000000000e+00
   12.000000     0.0000000000e+00     8.8511352462e-03     0.0000000000e+00
   12.050000     0.0000000000e+00     1.1730088423e-02     0.0000000000e+00
   12.100000     0.0000000000e+00     1.5033245604e-02     0.0000000000e+00
   12.150000     0.0000000000e+00     1.7352894508e-02     0.0000000000e+00
   12.200000     0.0000000000e+00     1.8583937153e-02     0.0000000000e+00
   12.250000     0.0000000000e+00     1.9562747352e-02     0.0000000000e+00
   12.300000     0.0000000000e+00     1.8542451244e-02     0.0000000000e+00
   12.350000    -0.0000000000e+00     1.6299678105e-02    -0.0000000000e+00
   12.400000     0.0000000000e+00     1.4653986000e-02    -0.0000000000e+00
   12.450000     0.0000000000e+00     1.4123517591e-02    -0.0000000000e+00
   12.500000     0.0000000000e+00     1.4491054547e-02    -0.0000000000e+00
   12.550000     0.0000000000e+00     1.4330565650e-02    -0.0000000000e+00
   12.600000     0.0000000000e+00     1.1714690812e-02    -0.0000000000e+00
   12.650000     0.0000000000e+00     9.5103055147e-03    -0.0000000000e+00
   12.700000     0.0000000000e+00     1.1379820241e-02    -0.0000000000e+00
   12.750000     0.0000000000e+00     1.4381031247e-02    -0.0000000000e+00
   12.800000     0.0000000000e+00     1.5479556023e-02     0.0000000000e+00
   12.850000     0.0000000000e+00     1.5404864085e-02     0.0000000000e+00
   12.900000     0.0000000000e+00     1.4292578153e-02     0.0000000000e+00
   12.950000     0.0000000000e+00     1.0893046920e-02     0.0000000000e+00
