Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.4225        -330.3886    -333.8474       3.4588   366.6
0.4230        -330.3857    -333.8593       3.4736   368.1
0.4235        -330.3831    -333.8751       3.4920   370.1
0.4240        -330.3808    -333.8929       3.5121   372.2
0.4245        -330.3787    -333.9109       3.5322   374.3
0.4250        -330.3771    -333.9277       3.5506   376.3
0.4255        -330.3755    -333.9417       3.5662   377.9
0.4260        -330.3743    -333.9535       3.5792   379.3
0.4265        -330.3737    -333.9648       3.5911   380.6
0.4270        -330.3733    -333.9762       3.6029   381.8
0.4275        -330.3736    -333.9889       3.6153   383.1
0.4280        -330.3742    -334.0029       3.6287   384.6
0.4285        -330.3754    -334.0186       3.6432   386.1
0.4290        -330.3773    -334.0356       3.6583   387.7
0.4295        -330.3795    -334.0530       3.6735   389.3
0.4300        -330.3823    -334.0717       3.6894   391.0
0.4305        -330.3859    -334.0926       3.7067   392.8
0.4310        -330.3902    -334.1150       3.7249   394.8
0.4315        -330.3951    -334.1384       3.7433   396.7
0.4320        -330.4006    -334.1625       3.7619   398.7
0.4325        -330.4069    -334.1878       3.7809   400.7
0.4330        -330.4140    -334.2147       3.8007   402.8
0.4335        -330.4220    -334.2430       3.8209   404.9
0.4340        -330.4307    -334.2711       3.8403   407.0
0.4345        -330.4405    -334.2983       3.8577   408.8
0.4350        -330.4513    -334.3227       3.8714   410.3
0.4355        -330.4625    -334.3424       3.8799   411.2
0.4360        -330.4747    -334.3580       3.8833   411.5
0.4365        -330.4879    -334.3707       3.8829   411.5
0.4370        -330.5020    -334.3817       3.8797   411.2
0.4375        -330.5177    -334.3927       3.8750   410.7
0.4380        -330.5341    -334.4035       3.8695   410.1
0.4385        -330.5512    -334.4155       3.8642   409.5
0.4390        -330.5693    -334.4297       3.8604   409.1
0.4395        -330.5886    -334.4464       3.8579   408.8
0.4400        -330.6085    -334.4631       3.8546   408.5
0.4405        -330.6294    -334.4781       3.8488   407.9
0.4410        -330.6509    -334.4903       3.8394   406.9
0.4415        -330.6732    -334.4987       3.8255   405.4
0.4420        -330.6961    -334.5036       3.8075   403.5
0.4425        -330.7197    -334.5066       3.7868   401.3
0.4430        -330.7440    -334.5090       3.7649   399.0
0.4435        -330.7688    -334.5121       3.7433   396.7
0.4440        -330.7944    -334.5165       3.7221   394.5
0.4445        -330.8205    -334.5200       3.6995   392.1
0.4450        -330.8473    -334.5198       3.6725   389.2
0.4455        -330.8740    -334.5124       3.6385   385.6
0.4460        -330.9010    -334.4979       3.5969   381.2
0.4465        -330.9279    -334.4769       3.5490   376.1
0.4470        -330.9550    -334.4525       3.4975   370.7
0.4475        -330.9823    -334.4271       3.4448   365.1
0.4480        -331.0090    -334.4007       3.3917   359.4
0.4485        -331.0355    -334.3755       3.3400   354.0
0.4490        -331.0619    -334.3533       3.2914   348.8
0.4495        -331.0880    -334.3340       3.2460   344.0
0.4500        -331.1139    -334.3170       3.2031   339.5
0.4505        -331.1392    -334.3003       3.1611   335.0
0.4510        -331.1641    -334.2834       3.1193   330.6
0.4515        -331.1886    -334.2663       3.0777   326.2
0.4520        -331.2125    -334.2482       3.0357   321.7
0.4525        -331.2355    -334.2293       2.9938   317.3
0.4530        -331.2581    -334.2123       2.9542   313.1
0.4535        -331.2800    -334.1991       2.9191   309.4
0.4540        -331.3014    -334.1902       2.8887   306.1
0.4545        -331.3223    -334.1840       2.8617   303.3
0.4550        -331.3426    -334.1782       2.8357   300.5
0.4555        -331.3620    -334.1707       2.8088   297.7
0.4560        -331.3809    -334.1618       2.7809   294.7
0.4565        -331.3990    -334.1518       2.7528   291.7
0.4570        -331.4164    -334.1418       2.7254   288.8
0.4575        -331.4330    -334.1335       2.7004   286.2
0.4580        -331.4490    -334.1279       2.6789   283.9
0.4585        -331.4642    -334.1254       2.6613   282.0
0.4590        -331.4787    -334.1267       2.6480   280.6
0.4595        -331.4926    -334.1318       2.6391   279.7
0.4600        -331.5061    -334.1400       2.6339   279.1
0.4605        -331.5188    -334.1490       2.6302   278.7
0.4610        -331.5310    -334.1571       2.6261   278.3
0.4615        -331.5424    -334.1627       2.6202   277.7
0.4620        -331.5531    -334.1653       2.6122   276.8
0.4625        -331.5630    -334.1657       2.6027   275.8
0.4630        -331.5722    -334.1650       2.5928   274.8
0.4635        -331.5807    -334.1654       2.5847   273.9
0.4640        -331.5888    -334.1685       2.5797   273.4
0.4645        -331.5960    -334.1736       2.5775   273.2
0.4650        -331.6028    -334.1805       2.5778   273.2
0.4655        -331.6088    -334.1881       2.5794   273.4
0.4660        -331.6140    -334.1958       2.5818   273.6
0.4665        -331.6186    -334.2038       2.5852   274.0
0.4670        -331.6225    -334.2120       2.5895   274.4
0.4675        -331.6258    -334.2210       2.5952   275.0
0.4680        -331.6285    -334.2317       2.6033   275.9
0.4685        -331.6306    -334.2449       2.6143   277.1
0.4690        -331.6319    -334.2606       2.6288   278.6
0.4695        -331.6327    -334.2800       2.6473   280.6
0.4700        -331.6329    -334.3036       2.6706   283.0
0.4705        -331.6327    -334.3308       2.6981   285.9
0.4710        -331.6319    -334.3603       2.7284   289.2
0.4715        -331.6306    -334.3906       2.7600   292.5
0.4720        -331.6288    -334.4201       2.7912   295.8
0.4725        -331.6264    -334.4467       2.8202   298.9
0.4730        -331.6236    -334.4688       2.8452   301.5
0.4735        -331.6202    -334.4852       2.8650   303.6
0.4740        -331.6163    -334.4954       2.8791   305.1
0.4745        -331.6115    -334.5008       2.8893   306.2
0.4750        -331.6068    -334.5046       2.8979   307.1
0.4755        -331.6017    -334.5080       2.9063   308.0
0.4760        -331.5962    -334.5105       2.9143   308.9
0.4765        -331.5901    -334.5109       2.9208   309.5
0.4770        -331.5838    -334.5093       2.9254   310.0
0.4775        -331.5773    -334.5051       2.9277   310.3
0.4780        -331.5702    -334.4980       2.9278   310.3
0.4785        -331.5628    -334.4887       2.9259   310.1
0.4790        -331.5550    -334.4788       2.9238   309.9
0.4795        -331.5469    -334.4701       2.9232   309.8
0.4800        -331.5382    -334.4614       2.9232   309.8
0.4805        -331.5291    -334.4511       2.9219   309.7
0.4810        -331.5195    -334.4383       2.9188   309.3
0.4815        -331.5097    -334.4233       2.9136   308.8
0.4820        -331.4997    -334.4065       2.9067   308.0
0.4825        -331.4893    -334.3875       2.8982   307.1
0.4830        -331.4786    -334.3668       2.8881   306.1
0.4835        -331.4676    -334.3443       2.8767   304.9
0.4840        -331.4563    -334.3202       2.8639   303.5
0.4845        -331.4444    -334.2940       2.8496   302.0
0.4850        -331.4319    -334.2658       2.8339   300.3
0.4855        -331.4192    -334.2363       2.8171   298.6
0.4860        -331.4063    -334.2057       2.7994   296.7
0.4865        -331.3927    -334.1737       2.7811   294.7
0.4870        -331.3786    -334.1411       2.7625   292.8
0.4875        -331.3643    -334.1084       2.7442   290.8
0.4880        -331.3493    -334.0763       2.7270   289.0
0.4885        -331.3342    -334.0467       2.7125   287.5
0.4890        -331.3187    -334.0198       2.7012   286.3
0.4895        -331.3023    -333.9944       2.6921   285.3
0.4900        -331.2858    -333.9699       2.6841   284.5
0.4905        -331.2686    -333.9444       2.6758   283.6
0.4910        -331.2507    -333.9184       2.6677   282.7
0.4915        -331.2325    -333.8931       2.6606   282.0
0.4920        -331.2136    -333.8687       2.6552   281.4
0.4925        -331.1943    -333.8464       2.6522   281.1
0.4930        -331.1744    -333.8259       2.6515   281.0
0.4935        -331.1538    -333.8058       2.6520   281.0
0.4940        -331.1326    -333.7849       2.6523   281.1
0.4945        -331.1105    -333.7629       2.6523   281.1
0.4950        -331.0879    -333.7410       2.6531   281.2
0.4955        -331.0647    -333.7208       2.6561   281.5
0.4960        -331.0408    -333.7040       2.6631   282.2
0.4965        -331.0163    -333.6914       2.6751   283.5
0.4970        -330.9910    -333.6834       2.6924   285.3
0.4975        -330.9649    -333.6806       2.7157   287.8
0.4980        -330.9380    -333.6831       2.7451   290.9
0.4985        -330.9105    -333.6895       2.7790   294.5
0.4990        -330.8821    -333.6974       2.8153   298.4
0.4995        -330.8526    -333.7053       2.8526   302.3
0.5000        -330.8224    -333.7124       2.8901   306.3
0.5005        -330.7911    -333.7196       2.9285   310.4
0.5010        -330.7595    -333.7283       2.9688   314.6
0.5015        -330.7269    -333.7381       3.0112   319.1
0.5020        -330.6936    -333.7492       3.0555   323.8
0.5025        -330.6595    -333.7615       3.1020   328.7
0.5030        -330.6249    -333.7749       3.1500   333.8
0.5035        -330.5896    -333.7874       3.1978   338.9
0.5040        -330.5536    -333.7966       3.2430   343.7
0.5045        -330.5168    -333.8018       3.2850   348.1
0.5050        -330.4798    -333.8037       3.3239   352.3
0.5055        -330.4423    -333.8033       3.3611   356.2
0.5060        -330.4043    -333.8019       3.3976   360.1
0.5065        -330.3662    -333.8025       3.4364   364.2
0.5070        -330.3278    -333.8078       3.4800   368.8
0.5075        -330.2893    -333.8188       3.5295   374.0
0.5080        -330.2509    -333.8354       3.5846   379.9
0.5085        -330.2125    -333.8570       3.6444   386.2
0.5090        -330.1739    -333.8806       3.7067   392.8
0.5095        -330.1353    -333.9043       3.7691   399.4
0.5100        -330.0965    -333.9281       3.8315   406.1
0.5105        -330.0580    -333.9532       3.8952   412.8
0.5110        -330.0197    -333.9807       3.9610   419.8
0.5115        -329.9825    -334.0116       4.0291   427.0
0.5120        -329.9455    -334.0424       4.0969   434.2
0.5125        -329.9092    -334.0700       4.1608   441.0
0.5130        -329.8742    -334.0914       4.2173   446.9
0.5135        -329.8401    -334.1022       4.2621   451.7
0.5140        -329.8072    -334.1004       4.2932   455.0
0.5145        -329.7758    -334.0865       4.3107   456.8
0.5150        -329.7461    -334.0625       4.3164   457.4
0.5155        -329.7179    -334.0324       4.3145   457.2
0.5160        -329.6915    -334.0019       4.3103   456.8
0.5165        -329.6669    -333.9746       4.3077   456.5
0.5170        -329.6440    -333.9508       4.3067   456.4
0.5175        -329.6232    -333.9289       4.3057   456.3
0.5180        -329.6040    -333.9044       4.3004   455.7
0.5185        -329.5864    -333.8728       4.2864   454.3
0.5190        -329.5707    -333.8329       4.2622   451.7
0.5195        -329.5563    -333.7854       4.2291   448.2
0.5200        -329.5431    -333.7351       4.1921   444.3
0.5205        -329.5317    -333.6895       4.1578   440.6
0.5210        -329.5222    -333.6523       4.1301   437.7
0.5215        -329.5142    -333.6239       4.1097   435.5
0.5220        -329.5078    -333.6019       4.0941   433.9
0.5225        -329.5031    -333.5818       4.0787   432.3
0.5230        -329.4998    -333.5572       4.0574   430.0
0.5235        -329.4972    -333.5221       4.0250   426.6
0.5240        -329.4955    -333.4753       3.9798   421.8
0.5245        -329.4947    -333.4184       3.9237   415.8
0.5250        -329.4949    -333.3564       3.8614   409.2
0.5255        -329.4959    -333.2955       3.7996   402.7
0.5260        -329.4976    -333.2409       3.7433   396.7
0.5265        -329.5004    -333.1957       3.6954   391.6
0.5270        -329.5035    -333.1588       3.6553   387.4
0.5275        -329.5076    -333.1284       3.6208   383.7
0.5280        -329.5121    -333.0998       3.5877   380.2
0.5285        -329.5172    -333.0695       3.5524   376.5
0.5290        -329.5221    -333.0346       3.5125   372.2
0.5295        -329.5273    -332.9970       3.4697   367.7
0.5300        -329.5325    -332.9615       3.4290   363.4
0.5305        -329.5377    -332.9346       3.3969   360.0
0.5310        -329.5434    -332.9218       3.3785   358.0
0.5315        -329.5492    -332.9249       3.3757   357.8
0.5320        -329.5558    -332.9424       3.3866   358.9
0.5325        -329.5624    -332.9676       3.4052   360.9
0.5330        -329.5691    -332.9936       3.4245   362.9
0.5335        -329.5763    -333.0144       3.4381   364.4
0.5340        -329.5833    -333.0236       3.4403   364.6
0.5345        -329.5899    -333.0192       3.4293   363.4
0.5350        -329.5968    -333.0052       3.4085   361.2
0.5355        -329.6041    -332.9856       3.3815   358.4
0.5360        -329.6112    -332.9628       3.3516   355.2
0.5365        -329.6190    -332.9419       3.3229   352.1
0.5370        -329.6266    -332.9232       3.2966   349.4
0.5375        -329.6345    -332.9083       3.2737   346.9
0.5380        -329.6425    -332.8948       3.2523   344.7
0.5385        -329.6504    -332.8795       3.2292   342.2
0.5390        -329.6580    -332.8612       3.2033   339.5
0.5395        -329.6653    -332.8411       3.1758   336.6
0.5400        -329.6725    -332.8222       3.1497   333.8
0.5405        -329.6791    -332.8068       3.1277   331.5
0.5410        -329.6858    -332.7979       3.1120   329.8
0.5415        -329.6925    -332.7951       3.1026   328.8
0.5420        -329.6991    -332.7965       3.0975   328.3
0.5425        -329.7054    -332.7991       3.0938   327.9
0.5430        -329.7112    -332.8007       3.0894   327.4
0.5435        -329.7171    -332.8005       3.0834   326.8
0.5440        -329.7224    -332.7976       3.0751   325.9
0.5445        -329.7277    -332.7926       3.0650   324.8
0.5450        -329.7326    -332.7862       3.0536   323.6
0.5455        -329.7372    -332.7791       3.0418   322.4
0.5460        -329.7413    -332.7728       3.0315   321.3
0.5465        -329.7453    -332.7703       3.0250   320.6
0.5470        -329.7490    -332.7733       3.0243   320.5
0.5475        -329.7524    -332.7823       3.0299   321.1
0.5480        -329.7560    -332.7969       3.0409   322.3
0.5485        -329.7591    -332.8146       3.0555   323.8
0.5490        -329.7622    -332.8346       3.0725   325.6
0.5495        -329.7650    -332.8568       3.0918   327.7
0.5500        -329.7677    -332.8811       3.1135   330.0
0.5505        -329.7702    -332.9081       3.1378   332.5
0.5510        -329.7727    -332.9381       3.1654   335.5
0.5515        -329.7751    -332.9707       3.1956   338.7
0.5520        -329.7771    -333.0050       3.2279   342.1
0.5525        -329.7797    -333.0408       3.2611   345.6
0.5530        -329.7819    -333.0762       3.2943   349.1
0.5535        -329.7843    -333.1100       3.3256   352.4
0.5540        -329.7866    -333.1402       3.3535   355.4
0.5545        -329.7893    -333.1670       3.3778   358.0
0.5550        -329.7920    -333.1908       3.3988   360.2
0.5555        -329.7950    -333.2123       3.4173   362.2
0.5560        -329.7982    -333.2326       3.4344   364.0
0.5565        -329.8016    -333.2537       3.4521   365.8
0.5570        -329.8054    -333.2765       3.4712   367.9
0.5575        -329.8096    -333.3011       3.4915   370.0
0.5580        -329.8142    -333.3273       3.5132   372.3
0.5585        -329.8189    -333.3560       3.5370   374.8
0.5590        -329.8244    -333.3874       3.5630   377.6
0.5595        -329.8303    -333.4206       3.5903   380.5
0.5600        -329.8369    -333.4535       3.6166   383.3
0.5605        -329.8439    -333.4835       3.6397   385.7
0.5610        -329.8514    -333.5097       3.6583   387.7
0.5615        -329.8593    -333.5312       3.6719   389.1
0.5620        -329.8679    -333.5494       3.6815   390.2
0.5625        -329.8774    -333.5648       3.6875   390.8
0.5630        -329.8871    -333.5764       3.6893   391.0
0.5635        -329.8974    -333.5854       3.6880   390.8
0.5640        -329.9082    -333.5938       3.6856   390.6
0.5645        -329.9196    -333.6027       3.6832   390.3
0.5650        -329.9316    -333.6114       3.6798   390.0
0.5655        -329.9441    -333.6190       3.6749   389.5
0.5660        -329.9572    -333.6259       3.6687   388.8
0.5665        -329.9710    -333.6319       3.6609   388.0
0.5670        -329.9853    -333.6369       3.6517   387.0
0.5675        -330.0002    -333.6418       3.6416   385.9
0.5680        -330.0155    -333.6468       3.6313   384.8
0.5685        -330.0312    -333.6536       3.6224   383.9
0.5690        -330.0477    -333.6645       3.6169   383.3
0.5695        -330.0644    -333.6789       3.6145   383.1
0.5700        -330.0819    -333.6966       3.6147   383.1
0.5705        -330.0997    -333.7150       3.6152   383.1
0.5710        -330.1185    -333.7306       3.6121   382.8
0.5715        -330.1374    -333.7407       3.6033   381.9
0.5720        -330.1565    -333.7437       3.5872   380.2
0.5725        -330.1761    -333.7388       3.5627   377.6
0.5730        -330.1960    -333.7256       3.5296   374.1
0.5735        -330.2154    -333.7044       3.4891   369.8
0.5740        -330.2350    -333.6803       3.4453   365.1
0.5745        -330.2544    -333.6577       3.4033   360.7
0.5750        -330.2742    -333.6401       3.3659   356.7
0.5755        -330.2939    -333.6271       3.3332   353.2
0.5760        -330.3136    -333.6184       3.3048   350.2
0.5765        -330.3336    -333.6133       3.2797   347.6
0.5770        -330.3531    -333.6094       3.2563   345.1
0.5775        -330.3725    -333.6056       3.2330   342.6
0.5780        -330.3915    -333.6008       3.2093   340.1
0.5785        -330.4105    -333.5949       3.1844   337.5
0.5790        -330.4293    -333.5891       3.1598   334.9
0.5795        -330.4473    -333.5856       3.1383   332.6
0.5800        -330.4653    -333.5890       3.1237   331.0
0.5805        -330.4834    -333.6013       3.1179   330.4
0.5810        -330.5011    -333.6209       3.1198   330.6
0.5815        -330.5192    -333.6460       3.1268   331.4
0.5820        -330.5373    -333.6711       3.1338   332.1
0.5825        -330.5553    -333.6913       3.1361   332.4
0.5830        -330.5728    -333.7021       3.1294   331.6
0.5835        -330.5899    -333.7016       3.1117   329.8
0.5840        -330.6067    -333.6924       3.0857   327.0
0.5845        -330.6230    -333.6790       3.0560   323.9
0.5850        -330.6388    -333.6668       3.0280   320.9
0.5855        -330.6543    -333.6610       3.0067   318.6
0.5860        -330.6694    -333.6643       2.9949   317.4
0.5865        -330.6846    -333.6773       2.9928   317.2
0.5870        -330.6993    -333.6974       2.9980   317.7
0.5875        -330.7141    -333.7219       3.0078   318.8
0.5880        -330.7282    -333.7467       3.0185   319.9
0.5885        -330.7422    -333.7702       3.0280   320.9
0.5890        -330.7557    -333.7920       3.0364   321.8
0.5895        -330.7692    -333.8140       3.0447   322.7
0.5900        -330.7824    -333.8364       3.0540   323.6
0.5905        -330.7955    -333.8597       3.0642   324.7
0.5910        -330.8086    -333.8835       3.0749   325.9
0.5915        -330.8211    -333.9060       3.0849   326.9
0.5920        -330.8341    -333.9261       3.0920   327.7
0.5925        -330.8464    -333.9385       3.0921   327.7
0.5930        -330.8588    -333.9418       3.0830   326.7
0.5935        -330.8706    -333.9357       3.0651   324.8
0.5940        -330.8820    -333.9218       3.0397   322.1
0.5945        -330.8931    -333.9034       3.0103   319.0
0.5950        -330.9038    -333.8849       2.9810   315.9
0.5955        -330.9141    -333.8692       2.9552   313.2
0.5960        -330.9241    -333.8582       2.9341   310.9
0.5965        -330.9339    -333.8522       2.9183   309.3
0.5970        -330.9432    -333.8508       2.9076   308.1
0.5975        -330.9519    -333.8541       2.9022   307.6
0.5980        -330.9603    -333.8631       2.9028   307.6
0.5985        -330.9684    -333.8785       2.9101   308.4
0.5990        -330.9759    -333.9004       2.9246   309.9
0.5995        -330.9832    -333.9307       2.9475   312.4
0.6000        -330.9905    -333.9682       2.9777   315.6
0.6005        -330.9974    -334.0097       3.0123   319.2
0.6010        -331.0041    -334.0524       3.0483   323.0
0.6015        -331.0112    -334.0924       3.0812   326.5
0.6020        -331.0177    -334.1245       3.1068   329.3
0.6025        -331.0241    -334.1469       3.1228   330.9
0.6030        -331.0300    -334.1583       3.1283   331.5
0.6035        -331.0361    -334.1600       3.1239   331.1
0.6040        -331.0419    -334.1527       3.1109   329.7
0.6045        -331.0471    -334.1384       3.0913   327.6
0.6050        -331.0526    -334.1206       3.0681   325.1
0.6055        -331.0575    -334.1006       3.0431   322.5
0.6060        -331.0624    -334.0801       3.0177   319.8
0.6065        -331.0669    -334.0589       2.9920   317.1
0.6070        -331.0705    -334.0373       2.9668   314.4
0.6075        -331.0739    -334.0191       2.9452   312.1
0.6080        -331.0769    -334.0074       2.9305   310.6
0.6085        -331.0796    -334.0058       2.9261   310.1
0.6090        -331.0821    -334.0167       2.9346   311.0
0.6095        -331.0844    -334.0390       2.9546   313.1
0.6100        -331.0867    -334.0695       2.9828   316.1
0.6105        -331.0889    -334.1033       3.0144   319.5
0.6110        -331.0907    -334.1338       3.0432   322.5
0.6115        -331.0919    -334.1553       3.0635   324.7
0.6120        -331.0930    -334.1650       3.0720   325.6
0.6125        -331.0933    -334.1620       3.0687   325.2
0.6130        -331.0941    -334.1509       3.0568   324.0
0.6135        -331.0941    -334.1330       3.0389   322.1
0.6140        -331.0939    -334.1113       3.0174   319.8
0.6145        -331.0936    -334.0881       2.9945   317.4
0.6150        -331.0930    -334.0631       2.9700   314.8
0.6155        -331.0920    -334.0347       2.9428   311.9
0.6160        -331.0910    -334.0035       2.9125   308.7
0.6165        -331.0887    -333.9701       2.8814   305.4
0.6170        -331.0861    -333.9416       2.8556   302.6
0.6175        -331.0834    -333.9242       2.8408   301.1
0.6180        -331.0801    -333.9209       2.8408   301.1
0.6185        -331.0765    -333.9353       2.8588   303.0
0.6190        -331.0729    -333.9690       2.8961   306.9
0.6195        -331.0690    -334.0188       2.9499   312.6
0.6200        -331.0650    -334.0785       3.0136   319.4
0.6205        -331.0605    -334.1403       3.0798   326.4
0.6210        -331.0557    -334.1972       3.1415   332.9
0.6215        -331.0504    -334.2443       3.1939   338.5
0.6220        -331.0448    -334.2790       3.2342   342.8
0.6225        -331.0389    -334.3017       3.2627   345.8
0.6230        -331.0329    -334.3160       3.2831   347.9
0.6235        -331.0273    -334.3256       3.2983   349.5
0.6240        -331.0216    -334.3301       3.3085   350.6
0.6245        -331.0162    -334.3281       3.3120   351.0
0.6250        -331.0111    -334.3185       3.3074   350.5
0.6255        -331.0061    -334.2981       3.2920   348.9
0.6260        -331.0011    -334.2647       3.2637   345.9
0.6265        -330.9956    -334.2188       3.2232   341.6
0.6270        -330.9901    -334.1655       3.1753   336.5
0.6275        -330.9846    -334.1117       3.1271   331.4
0.6280        -330.9786    -334.0660       3.0874   327.2
0.6285        -330.9730    -334.0382       3.0652   324.8
0.6290        -330.9671    -334.0324       3.0653   324.8
0.6295        -330.9611    -334.0480       3.0869   327.1
0.6300        -330.9551    -334.0806       3.1255   331.2
0.6305        -330.9491    -334.1237       3.1745   336.4
0.6310        -330.9429    -334.1692       3.2263   341.9
0.6315        -330.9362    -334.2104       3.2742   347.0
0.6320        -330.9292    -334.2440       3.3148   351.3
0.6325        -330.9222    -334.2695       3.3474   354.7
0.6330        -330.9153    -334.2891       3.3738   357.5
0.6335        -330.9084    -334.3037       3.3953   359.8
0.6340        -330.9017    -334.3137       3.4120   361.6
0.6345        -330.8952    -334.3190       3.4238   362.8
0.6350        -330.8890    -334.3177       3.4287   363.4
0.6355        -330.8831    -334.3073       3.4242   362.9
0.6360        -330.8770    -334.2872       3.4102   361.4
0.6365        -330.8715    -334.2588       3.3872   359.0
0.6370        -330.8657    -334.2222       3.3565   355.7
0.6375        -330.8599    -334.1830       3.3231   352.2
0.6380        -330.8545    -334.1493       3.2947   349.2
0.6385        -330.8492    -334.1263       3.2771   347.3
0.6390        -330.8443    -334.1178       3.2735   346.9
0.6395        -330.8395    -334.1228       3.2833   348.0
0.6400        -330.8348    -334.1375       3.3027   350.0
0.6405        -330.8303    -334.1569       3.3266   352.5
0.6410        -330.8255    -334.1744       3.3490   354.9
0.6415        -330.8206    -334.1855       3.3649   356.6
0.6420        -330.8157    -334.1888       3.3731   357.5
0.6425        -330.8108    -334.1862       3.3754   357.7
0.6430        -330.8061    -334.1814       3.3753   357.7
0.6435        -330.8016    -334.1772       3.3756   357.7
0.6440        -330.7976    -334.1748       3.3772   357.9
0.6445        -330.7938    -334.1723       3.3784   358.0
0.6450        -330.7905    -334.1652       3.3748   357.6
0.6455        -330.7873    -334.1472       3.3599   356.1
0.6460        -330.7842    -334.1123       3.3281   352.7
0.6465        -330.7807    -334.0576       3.2769   347.3
0.6470        -330.7769    -333.9864       3.2095   340.1
0.6475        -330.7729    -333.9083       3.1354   332.3
0.6480        -330.7689    -333.8352       3.0663   325.0
0.6485        -330.7651    -333.7776       3.0124   319.3
0.6490        -330.7614    -333.7419       2.9805   315.9
0.6495        -330.7576    -333.7300       2.9724   315.0
0.6500        -330.7538    -333.7382       2.9844   316.3
0.6505        -330.7498    -333.7584       3.0086   318.8
0.6510        -330.7455    -333.7809       3.0354   321.7
0.6515        -330.7404    -333.7966       3.0562   323.9
0.6520        -330.7347    -333.8022       3.0675   325.1
0.6525        -330.7286    -333.8000       3.0715   325.5
0.6530        -330.7221    -333.7954       3.0733   325.7
0.6535        -330.7157    -333.7935       3.0778   326.2
0.6540        -330.7093    -333.7961       3.0868   327.1
0.6545        -330.7031    -333.8010       3.0979   328.3
0.6550        -330.6962    -333.8021       3.1058   329.1
0.6555        -330.6891    -333.7944       3.1053   329.1
0.6560        -330.6820    -333.7748       3.0928   327.8
0.6565        -330.6745    -333.7428       3.0683   325.2
0.6570        -330.6663    -333.7029       3.0365   321.8
0.6575        -330.6581    -333.6638       3.0057   318.5
0.6580        -330.6498    -333.6345       2.9847   316.3
0.6585        -330.6414    -333.6214       2.9799   315.8
0.6590        -330.6329    -333.6280       2.9951   317.4
0.6595        -330.6245    -333.6541       3.0296   321.1
0.6600        -330.6158    -333.6932       3.0775   326.1
0.6605        -330.6066    -333.7370       3.1304   331.7
0.6610        -330.5968    -333.7782       3.1814   337.2
0.6615        -330.5862    -333.8151       3.2289   342.2
0.6620        -330.5755    -333.8523       3.2768   347.3
0.6625        -330.5647    -333.8971       3.3324   353.2
0.6630        -330.5540    -333.9548       3.4008   360.4
0.6635        -330.5434    -334.0267       3.4833   369.1
0.6640        -330.5333    -334.1099       3.5766   379.0
0.6645        -330.5233    -334.1957       3.6724   389.2
0.6650        -330.5135    -334.2749       3.7614   398.6
0.6655        -330.5042    -334.3403       3.8361   406.5
0.6660        -330.4950    -334.3868       3.8918   412.4
0.6665        -330.4867    -334.4148       3.9281   416.3
0.6670        -330.4790    -334.4284       3.9493   418.5
0.6675        -330.4723    -334.4348       3.9626   419.9
0.6680        -330.4666    -334.4417       3.9751   421.3
0.6685        -330.4617    -334.4555       3.9938   423.3
0.6690        -330.4585    -334.4808       4.0223   426.3
0.6695        -330.4565    -334.5172       4.0607   430.3
0.6700        -330.4558    -334.5622       4.1064   435.2
0.6705        -330.4566    -334.6114       4.1548   440.3
0.6710        -330.4591    -334.6590       4.1999   445.1
0.6715        -330.4627    -334.6974       4.2347   448.8
0.6720        -330.4673    -334.7223       4.2550   450.9
0.6725        -330.4737    -334.7359       4.2621   451.7
0.6730        -330.4813    -334.7414       4.2601   451.5
0.6735        -330.4909    -334.7454       4.2546   450.9
0.6740        -330.5022    -334.7515       4.2493   450.3
0.6745        -330.5156    -334.7594       4.2438   449.8
0.6750        -330.5307    -334.7637       4.2331   448.6
0.6755        -330.5471    -334.7562       4.2092   446.1
0.6760        -330.5646    -334.7309       4.1662   441.5
0.6765        -330.5831    -334.6862       4.1032   434.8
0.6770        -330.6020    -334.6252       4.0232   426.4
0.6775        -330.6223    -334.5549       3.9326   416.8
0.6780        -330.6431    -334.4814       3.8384   406.8
0.6785        -330.6641    -334.4102       3.7462   397.0
0.6790        -330.6853    -334.3451       3.6599   387.9
0.6795        -330.7068    -334.2885       3.5816   379.6
0.6800        -330.7282    -334.2402       3.5119   372.2
0.6805        -330.7498    -334.2003       3.4505   365.7
0.6810        -330.7714    -334.1681       3.3967   360.0
0.6815        -330.7931    -334.1423       3.3491   354.9
0.6820        -330.8145    -334.1206       3.3061   350.4
0.6825        -330.8355    -334.1020       3.2666   346.2
0.6830        -330.8562    -334.0864       3.2302   342.3
0.6835        -330.8768    -334.0743       3.1975   338.9
0.6840        -330.8970    -334.0659       3.1689   335.8
0.6845        -330.9170    -334.0616       3.1446   333.3
0.6850        -330.9370    -334.0613       3.1242   331.1
0.6855        -330.9567    -334.0628       3.1061   329.2
0.6860        -330.9761    -334.0634       3.0874   327.2
0.6865        -330.9951    -334.0605       3.0654   324.9
0.6870        -331.0134    -334.0527       3.0393   322.1
0.6875        -331.0316    -334.0407       3.0091   318.9
0.6880        -331.0493    -334.0235       2.9742   315.2
0.6885        -331.0665    -334.0000       2.9336   310.9
0.6890        -331.0826    -333.9708       2.8883   306.1
0.6895        -331.0982    -333.9400       2.8418   301.2
0.6900        -331.1129    -333.9117       2.7988   296.6
0.6905        -331.1271    -333.8909       2.7638   292.9
